textPayload,insertId,resource.type,resource.labels.task_name,resource.labels.job_id,resource.labels.project_id,timestamp,severity,logName,receiveTimestamp,jsonPayload.pathname,jsonPayload.created,jsonPayload.lineno,jsonPayload.message,jsonPayload.levelname,"labels.""compute.googleapis.com/zone""","labels.""ml.googleapis.com/job_id/log_area""","labels.""compute.googleapis.com/resource_name""","labels.""ml.googleapis.com/trial_id""","labels.""compute.googleapis.com/resource_id"""
,xkp1tlfuhvoc9,ml_job,master-replica-0,wals_ml_tune_20190530_044150,my-tf-2019,2019-06-01T05:10:53.520746946Z,INFO,projects/my-tf-2019/logs/master-replica-0,2019-06-01T05:10:59.240655132Z,/root/.local/lib/python2.7/site-packages/trainer/task.py,1559365853.520747,48,test RMSE = 1.43,INFO,us-east1-c,tensorflow,cmle-training-9197944758555499725,409,5059700381452318381
,1t7d1abfx068jc,ml_job,master-replica-0,wals_ml_tune_20190530_044150,my-tf-2019,2019-06-01T05:04:23.890127897Z,INFO,projects/my-tf-2019/logs/master-replica-0,2019-06-01T05:04:27.203607447Z,/root/.local/lib/python2.7/site-packages/trainer/task.py,1559365463.890128,48,test RMSE = 1.11,INFO,us-east1-c,tensorflow,cmle-training-5586737787313799981,408,4316501542654949457
,1q5jbg9fvt2dz3,ml_job,master-replica-0,wals_ml_tune_20190530_044150,my-tf-2019,2019-06-01T04:50:13.152542114Z,INFO,projects/my-tf-2019/logs/master-replica-0,2019-06-01T04:50:16.203087233Z,/root/.local/lib/python2.7/site-packages/trainer/task.py,1559364613.152542,48,test RMSE = 1.03,INFO,us-east1-c,tensorflow,cmle-training-2336915565613938387,406,9125703597967785370
,qx432efwpq03u,ml_job,master-replica-0,wals_ml_tune_20190530_044150,my-tf-2019,2019-06-01T04:29:10.982661008Z,INFO,projects/my-tf-2019/logs/master-replica-0,2019-06-01T04:29:14.368029577Z,/root/.local/lib/python2.7/site-packages/trainer/task.py,1559363350.982661,48,test RMSE = 1.03,INFO,us-east1-c,tensorflow,cmle-training-2303551390006890847,403,4648450867653787751
,1ca4rirfvjb75z,ml_job,master-replica-0,wals_ml_tune_20190530_044150,my-tf-2019,2019-06-01T04:22:23.296084880Z,INFO,projects/my-tf-2019/logs/master-replica-0,2019-06-01T04:22:24.031887015Z,/root/.local/lib/python2.7/site-packages/trainer/task.py,1559362943.296085,48,test RMSE = 1.02,INFO,us-east1-c,tensorflow,cmle-training-31012429586239878,402,5851995420906766858
,1o7svjoflwrkus,ml_job,master-replica-0,wals_ml_tune_20190530_044150,my-tf-2019,2019-06-01T04:15:22.031435966Z,INFO,projects/my-tf-2019/logs/master-replica-0,2019-06-01T04:15:25.331090360Z,/root/.local/lib/python2.7/site-packages/trainer/task.py,1559362522.031436,48,test RMSE = 1.01,INFO,us-east1-c,tensorflow,cmle-training-15595216074419725662,401,8368970389507556780
,1k26f2wftxt9m2,ml_job,master-replica-0,wals_ml_tune_20190530_044150,my-tf-2019,2019-06-01T04:01:22.147008895Z,INFO,projects/my-tf-2019/logs/master-replica-0,2019-06-01T04:01:25.861846675Z,/root/.local/lib/python2.7/site-packages/trainer/task.py,1559361682.147009,48,test RMSE = 1.62,INFO,us-east1-c,tensorflow,cmle-training-6203936909745233089,399,4806932493701499155
,1lpoxx6fwbwon8,ml_job,master-replica-0,wals_ml_tune_20190530_044150,my-tf-2019,2019-06-01T03:54:23.538875102Z,INFO,projects/my-tf-2019/logs/master-replica-0,2019-06-01T03:54:28.833348885Z,/root/.local/lib/python2.7/site-packages/trainer/task.py,1559361263.538875,48,test RMSE = 1.03,INFO,us-east1-c,tensorflow,cmle-training-5021475804564838607,398,2606605749934901430
,1ulbx9jfqhszfd,ml_job,master-replica-0,wals_ml_tune_20190530_044150,my-tf-2019,2019-06-01T03:46:51.286534070Z,INFO,projects/my-tf-2019/logs/master-replica-0,2019-06-01T03:46:55.752383820Z,/root/.local/lib/python2.7/site-packages/trainer/task.py,1559360811.286534,48,test RMSE = 1.02,INFO,us-east1-c,tensorflow,cmle-training-13410147313176633926,397,4520211394827405946
,zj39hbffng9vz,ml_job,master-replica-0,wals_ml_tune_20190530_044150,my-tf-2019,2019-06-01T03:39:49.068037033Z,INFO,projects/my-tf-2019/logs/master-replica-0,2019-06-01T03:39:51.417396516Z,/root/.local/lib/python2.7/site-packages/trainer/task.py,1559360389.068037,48,test RMSE = 1.02,INFO,us-east1-c,tensorflow,cmle-training-4059495372323537864,396,3753537098013756444
,jfh7jlfbql60q,ml_job,master-replica-0,wals_ml_tune_20190530_044150,my-tf-2019,2019-06-01T03:33:25.294300079Z,INFO,projects/my-tf-2019/logs/master-replica-0,2019-06-01T03:33:27.670767310Z,/root/.local/lib/python2.7/site-packages/trainer/task.py,1559360005.2943,48,test RMSE = 1.05,INFO,us-east1-c,tensorflow,cmle-training-2588109515119349382,395,1948421047117959040
,16gd8dlfw0vj3i,ml_job,master-replica-0,wals_ml_tune_20190530_044150,my-tf-2019,2019-06-01T03:26:31.084667921Z,INFO,projects/my-tf-2019/logs/master-replica-0,2019-06-01T03:26:34.630839807Z,/root/.local/lib/python2.7/site-packages/trainer/task.py,1559359591.084668,48,test RMSE = 1.45,INFO,us-east1-c,tensorflow,cmle-training-1363999384785114772,394,1398336900160049442
,3wg4r4fv269c4,ml_job,master-replica-0,wals_ml_tune_20190530_044150,my-tf-2019,2019-06-01T03:06:11.820221900Z,INFO,projects/my-tf-2019/logs/master-replica-0,2019-06-01T03:06:12.347258549Z,/root/.local/lib/python2.7/site-packages/trainer/task.py,1559358371.820222,48,test RMSE = 1.04,INFO,us-east1-c,tensorflow,cmle-training-17511614599412668433,391,2125125987474363883
,1d4k6umfnbtfr6,ml_job,master-replica-0,wals_ml_tune_20190530_044150,my-tf-2019,2019-06-01T02:59:19.821496963Z,INFO,projects/my-tf-2019/logs/master-replica-0,2019-06-01T02:59:25.003877063Z,/root/.local/lib/python2.7/site-packages/trainer/task.py,1559357959.821497,48,test RMSE = 1.66,INFO,us-east1-c,tensorflow,cmle-training-7848413315519839315,390,7460843290420336522
,1fw8u5wft65jf7,ml_job,master-replica-0,wals_ml_tune_20190530_044150,my-tf-2019,2019-06-01T02:44:42.564558982Z,INFO,projects/my-tf-2019/logs/master-replica-0,2019-06-01T02:44:45.628231600Z,/root/.local/lib/python2.7/site-packages/trainer/task.py,1559357082.564559,48,test RMSE = 1.23,INFO,us-east1-c,tensorflow,cmle-training-12827128483558198293,388,8613976940641803029
,nliogwfpvazbq,ml_job,master-replica-0,wals_ml_tune_20190530_044150,my-tf-2019,2019-06-01T02:38:12.782407045Z,INFO,projects/my-tf-2019/logs/master-replica-0,2019-06-01T02:38:17.968443769Z,/root/.local/lib/python2.7/site-packages/trainer/task.py,1559356692.782407,48,test RMSE = 1.02,INFO,us-east1-c,tensorflow,cmle-training-6562826316417468663,387,2954046081372805785
,m77ss3fvj65ni,ml_job,master-replica-0,wals_ml_tune_20190530_044150,my-tf-2019,2019-06-01T02:16:31.093480110Z,INFO,projects/my-tf-2019/logs/master-replica-0,2019-06-01T02:16:34.092586104Z,/root/.local/lib/python2.7/site-packages/trainer/task.py,1559355391.09348,48,test RMSE = 1.02,INFO,us-east1-c,tensorflow,cmle-training-13225309159074485474,384,8120743420355174786
,of2deifudjfvl,ml_job,master-replica-0,wals_ml_tune_20190530_044150,my-tf-2019,2019-06-01T01:55:32.084356069Z,INFO,projects/my-tf-2019/logs/master-replica-0,2019-06-01T01:55:34.896568807Z,/root/.local/lib/python2.7/site-packages/trainer/task.py,1559354132.084356,48,test RMSE = 1.13,INFO,us-east1-c,tensorflow,cmle-training-3515684313226776074,381,8238406991481693293
