textPayload,insertId,resource.type,resource.labels.task_name,resource.labels.job_id,resource.labels.project_id,timestamp,severity,logName,receiveTimestamp,jsonPayload.pathname,jsonPayload.created,jsonPayload.lineno,jsonPayload.message,jsonPayload.levelname,"labels.""compute.googleapis.com/zone""","labels.""ml.googleapis.com/job_id/log_area""","labels.""compute.googleapis.com/resource_name""","labels.""ml.googleapis.com/trial_id""","labels.""compute.googleapis.com/resource_id"""
,i1m6f5fbzrtyj,ml_job,master-replica-0,wals_ml_tune_20190530_044150,my-tf-2019,2019-06-01T12:14:08.367157936Z,INFO,projects/my-tf-2019/logs/master-replica-0,2019-06-01T12:14:11.633155786Z,/root/.local/lib/python2.7/site-packages/trainer/task.py,1559391248.367158,48,test RMSE = 0.98,INFO,us-east1-c,tensorflow,cmle-training-938413075395854518,468,8607213943403828628
,152t7zjfen7xrv,ml_job,master-replica-0,wals_ml_tune_20190530_044150,my-tf-2019,2019-06-01T09:43:39.078824043Z,INFO,projects/my-tf-2019/logs/master-replica-0,2019-06-01T09:43:42.274776814Z,/root/.local/lib/python2.7/site-packages/trainer/task.py,1559382219.078824,48,test RMSE = 0.98,INFO,us-east1-c,tensorflow,cmle-training-10596808324873315041,447,4542083893739648727
,wr2u57fwt6jqb,ml_job,master-replica-0,wals_ml_tune_20190530_044150,my-tf-2019,2019-06-01T06:08:50.375235080Z,INFO,projects/my-tf-2019/logs/master-replica-0,2019-06-01T06:08:54.058508742Z,/root/.local/lib/python2.7/site-packages/trainer/task.py,1559369330.375235,48,test RMSE = 0.99,INFO,us-east1-c,tensorflow,cmle-training-6866628176796930158,417,1421570920884972297
,tzcippfw5ds7y,ml_job,master-replica-0,wals_ml_tune_20190530_044150,my-tf-2019,2019-06-01T04:36:29.005565881Z,INFO,projects/my-tf-2019/logs/master-replica-0,2019-06-01T04:36:32.533799201Z,/root/.local/lib/python2.7/site-packages/trainer/task.py,1559363789.005566,48,test RMSE = 0.98,INFO,us-east1-c,tensorflow,cmle-training-10244641011209200711,404,4282181970821103297
,1t7sgppfq86xte,ml_job,master-replica-0,wals_ml_tune_20190530_044150,my-tf-2019,2019-06-01T03:20:01.054565906Z,INFO,projects/my-tf-2019/logs/master-replica-0,2019-06-01T03:20:01.494075603Z,/root/.local/lib/python2.7/site-packages/trainer/task.py,1559359201.054566,48,test RMSE = 0.98,INFO,us-east1-c,tensorflow,cmle-training-8961172824492544840,393,6142870693753933991
,z8onewfv6jc22,ml_job,master-replica-0,wals_ml_tune_20190530_044150,my-tf-2019,2019-06-01T02:02:45.487387895Z,INFO,projects/my-tf-2019/logs/master-replica-0,2019-06-01T02:02:48.348273253Z,/root/.local/lib/python2.7/site-packages/trainer/task.py,1559354565.487388,48,test RMSE = 0.99,INFO,us-east1-c,tensorflow,cmle-training-16444808934318568767,382,2734017007037735624
,gnoflvftfwgzx,ml_job,master-replica-0,wals_ml_tune_20190530_044150,my-tf-2019,2019-06-01T00:30:21.813654899Z,INFO,projects/my-tf-2019/logs/master-replica-0,2019-06-01T00:30:25.455749822Z,/root/.local/lib/python2.7/site-packages/trainer/task.py,1559349021.813655,48,test RMSE = 0.99,INFO,us-east1-c,tensorflow,cmle-training-6954975099131201418,369,8641096472250316957
,1gfvusefs8k7q2,ml_job,master-replica-0,wals_ml_tune_20190530_044150,my-tf-2019,2019-05-31T22:01:40.921217918Z,INFO,projects/my-tf-2019/logs/master-replica-0,2019-05-31T22:01:44.370199549Z,/root/.local/lib/python2.7/site-packages/trainer/task.py,1559340100.921218,48,test RMSE = 0.98,INFO,us-east1-c,tensorflow,cmle-training-3725080624525157340,349,1720158249893502283
,1k26f2wfp0uf3h,ml_job,master-replica-0,wals_ml_tune_20190530_044150,my-tf-2019,2019-05-31T20:42:18.985264062Z,INFO,projects/my-tf-2019/logs/master-replica-0,2019-05-31T20:42:21.791644787Z,/root/.local/lib/python2.7/site-packages/trainer/task.py,1559335338.985264,48,test RMSE = 0.99,INFO,us-east1-c,tensorflow,cmle-training-599913267588074590,338,8918105945693499363
,1k27i2qfl5vivm,ml_job,master-replica-0,wals_ml_tune_20190530_044150,my-tf-2019,2019-05-31T19:08:41.386296033Z,INFO,projects/my-tf-2019/logs/master-replica-0,2019-05-31T19:08:44.704711680Z,/root/.local/lib/python2.7/site-packages/trainer/task.py,1559329721.386296,48,test RMSE = 0.99,INFO,us-east1-c,tensorflow,cmle-training-5360685385961325586,325,4522862128383444469
